id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3029,Johnson,James,TOR,SF,SAC,27.00,9.97,0.28,5.17,2.33,1.14,1.36,1.95,3.60,1.93,0.92,3.88,3.14,0.03,0.00,3700,10,3600,5350,0,42800,0,5100,3400,SF,SF,SF,SF;PF,,,,F,F
2771,Scola,Luis,TOR,PF,SAC,24.00,10.45,0.44,7.03,1.40,0.78,0.33,1.16,3.73,1.69,0.63,4.16,4.91,0.18,0.00,4500,18,5000,7950,0,76900,0,8700,3950,PF,PF,PF,PF;C,,,,F,F
3718,Noel,Nerlens,PHI,PF,@ CLE,28.00,8.99,0.00,6.28,1.23,1.50,1.25,1.93,3.62,1.74,1.05,3.62,4.30,0.04,0.00,5500,24,5600,10700,0,76300,0,10000,4650,PF,PF,PF,PF;C,,C,,F,F
2849,Mayo,OJ,MIL,SG,@ PHO,26.00,12.38,2.02,3.05,2.80,1.15,0.18,1.91,2.62,1.08,0.20,4.64,5.19,0.02,0.00,5100,17,5600,9100,0,86700,0,9500,4150,SG,PG,SG,PG;SG,,,,G,G
2828,Gordon,Eric,NOR,SG,@ DEN,31.00,14.20,2.38,1.95,2.62,0.65,0.25,1.53,2.53,1.99,0.41,4.91,7.08,0.01,0.00,4900,23,4800,9350,0,72400,0,9100,4300,SG,SG,SG,SG,,,,G,G
1807,Korver,Kyle,ATL,SG,@ ORL,33.00,11.20,2.67,3.59,2.37,0.90,0.65,1.85,1.20,0.78,0.12,3.87,4.43,0.01,0.00,4600,18,4300,8700,0,66800,0,8600,4150,SG,SG,SG,SG;SF,,,,G,G
3930,Jokic,Nikola,DEN,C,NOR,21.00,10.63,0.17,6.24,1.29,0.78,0.62,1.16,3.88,2.38,0.71,4.04,3.58,0.06,0.00,4100,10,3900,6750,0,68900,0,8400,4000,C,C,C,C,,C,,C,C
3354,Bogdanovic,Bojan,BKN,SF,MIN,34.00,13.20,1.78,4.55,1.32,0.76,0.07,1.38,3.35,1.14,0.36,5.14,5.64,0.02,0.00,3700,14,4500,7550,0,63600,0,6200,3800,SF,SG,SF,SG;SF,,,,F,G
3369,Irving,Kyrie,CLE,PG,PHI,22.00,12.96,0.97,2.11,3.42,0.87,0.20,1.48,3.68,2.67,0.38,4.66,4.96,0.02,0.00,7900,31,6700,5000,0,129200,0,19100,5500,PG,SG,PG,PG;SG,,,,G,G
3688,Lauvergne,Joffrey,DEN,C,NOR,22.00,9.15,0.40,7.19,0.88,0.54,0.94,1.27,2.95,2.06,0.84,3.34,4.25,0.15,0.00,4000,10,4400,7500,0,71900,0,9100,4000,C,C,C,PF;C,,C,,C,F
3373,Joseph,Cory,TOR,PG,SAC,28.00,10.56,0.50,2.92,3.68,1.19,0.24,1.32,3.29,2.49,0.83,3.79,4.11,0.01,0.00,4200,13,4000,7150,0,65000,0,7300,3900,PG,PG,PG,PG,,,,G,G
3674,Schroder,Dennis,ATL,PG,@ ORL,21.00,9.97,0.97,2.79,4.75,0.61,0.08,2.23,2.59,1.87,0.39,3.56,5.65,0.01,0.00,4900,11,5100,8900,0,79900,0,9900,3900,PG,PG,PG,PG,,,,G,G
3693,Canaan,Isaiah,PHI,PG,@ CLE,28.00,12.17,2.56,2.09,2.63,0.71,0.13,1.50,1.45,1.59,0.31,4.01,7.02,0.01,0.00,4400,10,4400,8000,0,54200,0,6800,4000,PG,PG,PG,PG,,,,G,G
3020,Collison,Darren,SAC,PG,@ TOR,28.00,10.35,1.09,2.09,4.24,0.69,0.25,1.90,2.64,1.81,0.39,3.72,5.95,0.02,0.00,5200,19,5100,9850,0,78800,0,9800,4000,PG,PG,PG,PG,,,,G,G
2308,Smith,JR,CLE,SG,PHI,29.00,9.90,1.74,3.30,2.05,1.11,0.38,1.09,2.01,0.66,0.31,3.75,5.57,0.01,0.00,5000,19,4900,8700,0,70300,0,7700,4350,SG,SG,SG,SG;SF,,,,G,G
3475,Fournier,Evan,ORL,SG,ATL,25.00,11.51,1.80,2.55,2.10,0.75,0.00,1.36,2.35,1.42,0.37,4.14,5.48,0.01,0.00,4700,22,4600,8550,0,64400,0,8500,4300,SG,SG,SF,SG;SF,,,,G,G
3941,Parker,Jabari,MIL,PF,@ PHO,25.00,10.35,0.00,4.15,1.37,1.08,0.17,1.34,4.23,1.88,0.63,4.23,5.04,0.02,0.00,4900,18,5100,8650,0,77600,0,9000,4100,PF,PF,PF,SF;PF,,,,F,F
3923,Harris,Gary,DEN,SG,NOR,30.00,9.74,1.19,2.99,1.90,1.13,0.23,1.32,2.52,1.14,0.28,3.71,4.54,0.00,0.00,3700,11,4000,6050,0,60900,0,7500,4000,SG,SG,SG,SG,,,,G,G
3920,Gordon,Aaron,ORL,PF,ATL,22.00,7.69,0.48,5.20,1.11,0.84,0.82,0.98,2.47,1.31,0.51,2.95,4.10,0.02,0.00,3600,10,3600,7500,0,57400,0,7200,3900,PF,SF,SF,SF;PF,,,,F,F
2083,Chandler,Tyson,PHO,C,MIL,20.00,5.79,0.00,7.91,0.55,0.40,0.91,0.93,2.15,1.49,0.67,2.15,1.33,0.02,0.00,4100,12,4200,7550,0,49900,0,7500,3850,C,C,C,C,,C,,C,C
3775,Dellavedova,Matthew,CLE,PG,PHI,27.00,6.84,0.94,2.37,5.19,0.55,0.05,1.33,1.65,0.74,0.11,2.58,3.90,0.01,0.00,4400,14,4700,8500,0,77500,0,8800,4100,PG,PG,PG,PG;SG,,,,G,G
3921,Grant,Jerami,PHI,PF,@ CLE,26.00,8.14,0.48,4.09,1.26,0.56,1.33,1.37,2.36,1.98,1.07,2.84,4.41,0.01,0.00,4400,18,4400,8500,0,67500,0,8600,4000,PF,SF,SF,SF;PF,,,,F,F
3400,Thompson,Tristan,CLE,PF,PHI,21.00,6.10,0.00,7.45,0.74,0.42,0.64,0.75,2.37,1.36,0.77,2.37,1.75,0.03,0.00,4700,22,4900,8600,0,70300,0,9400,4200,PF,PF,PF,PF;C,,,,F,F
3159,Davis,Ed,POR,PF,@ MIA,20.00,6.23,0.00,6.51,1.04,0.53,0.67,0.61,2.70,0.82,0.89,2.70,1.74,0.01,0.00,4500,16,4300,8300,0,58900,0,8900,4000,PF,PF,PF,PF;C,,,,F,F
