id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3722,Crabbe,Allen,POR,SG,@ OKC,27.00,8.80,1.02,2.32,1.34,0.66,0.19,0.95,2.43,0.88,0.28,3.45,5.60,0.00,0.00,4100,10,4000,7100,0,65300,0,7200,3800,SG,SG,SG,SG,,,,G,G
5057,Winslow,Justise,MIA,SF,@ BKN,26.00,5.79,0.54,3.99,1.35,0.84,0.35,1.65,1.80,0.58,0.26,2.33,3.19,0.00,0.00,3500,10,3700,5700,0,49400,0,5800,3800,SF,SF,SF,SF,,,,F,F
5024,Johnson,Stanley,DET,SF,BOS,17.00,7.55,0.53,3.74,0.80,0.64,0.13,1.25,2.47,1.02,0.36,3.00,4.56,0.01,0.00,3500,10,3800,5950,0,48300,0,5700,3700,SF,SF,SF,SF,,,,F,F
2262,Martin,Kevin,MIN,SG,@ NYK,20.00,10.42,0.57,1.66,0.95,0.34,0.01,0.60,2.75,3.22,0.46,3.32,4.89,0.00,0.00,4500,15,4800,9350,0,77100,0,8200,4200,SG,SG,SG,SG;SF,,,,G,G
2814,Chalmers,Mario,MEM,PG,@ CHI,20.00,5.69,0.38,2.66,2.29,1.11,0.15,1.15,1.59,1.38,0.40,1.97,3.78,0.00,0.00,4200,12,4000,7300,0,62000,0,8000,3850,PG,PG,PG,PG;SG,,,,G,G
2378,Humphries,Kris,WAS,PF,@ SAS,18.00,6.54,0.71,4.76,0.55,0.39,0.24,0.76,1.82,0.77,0.21,2.53,3.27,0.00,0.00,3500,10,3700,5800,0,37200,0,5600,3600,PF,PF,PF,PF;C,,,,C,F
3659,Thompson,Hollis,PHI,SF,@ ATL,20.00,7.40,1.62,2.83,0.94,0.60,0.18,0.82,1.00,0.56,0.21,2.61,3.40,0.00,0.00,3500,10,3600,6300,0,43700,0,5900,3600,SF,SF,SG,SG;SF,,,,G,G
3563,O'Quinn,Kyle,NYK,C,MIN,15.00,5.62,0.07,3.88,1.10,0.45,0.78,0.89,2.33,0.76,0.28,2.40,2.03,0.00,0.00,4000,10,3100,6550,0,55500,0,7300,3750,C,C,PF,PF;C,,,,F,F
2151,Barbosa,Leandro,GSW,SG,PHO,14.00,8.08,1.01,1.69,1.65,0.52,0.13,0.77,2.07,0.90,0.26,3.09,2.82,0.00,0.00,3500,10,3200,5000,0,35400,0,4200,3500,SG,SG,PG,PG;SG,,,,G,G
5029,Lyles,Trey,UTA,PF,NOR,19.00,6.23,0.15,4.52,0.64,0.38,0.41,0.95,2.30,1.17,0.40,2.45,3.14,0.00,0.00,3500,10,3200,5000,0,35900,0,3400,3000,PF,PF,PF,PF,,,,F,F
3956,Warren,TJ,PHO,SF,@ GSW,17.00,8.47,0.23,2.67,0.51,0.48,0.30,0.57,3.67,0.42,0.14,3.91,3.87,0.00,0.00,3600,11,4000,6450,0,48900,0,6600,4000,SF,SF,SF,SF,,,,F,F
2805,Ajinca,Alexis,NOR,C,@ UTA,16.00,6.23,0.00,3.77,0.67,0.48,0.75,1.21,2.61,1.01,0.20,2.61,1.97,0.00,0.00,3500,10,3400,6050,0,50300,0,6200,3500,C,C,C,PF;C,,C,,C,C
3672,Muscala,Mike,ATL,PF,PHI,15.00,5.35,0.49,3.78,0.91,0.44,0.78,0.73,1.48,0.92,0.07,1.97,1.91,0.00,0.00,3500,10,3200,5000,0,42600,0,4900,3500,PF,PF,C,PF;C,,,,C,F
3680,Snell,Tony,CHI,SG,MEM,22.00,7.07,1.30,2.65,1.16,0.38,0.25,0.69,1.25,0.66,0.18,2.55,2.90,0.00,0.00,3800,10,3500,5450,0,35000,0,5200,3500,SG,SF,SF,SG;SF,,,,G,F
2728,Hawes,Spencer,CHA,C,@ ORL,17.00,5.15,0.52,3.71,1.50,0.23,0.68,0.94,1.49,0.60,0.25,2.02,3.32,0.00,0.00,3600,10,3600,5850,0,54000,0,6200,3700,C,PF,C,PF;C,,,,C,F
1977,West,David,SAS,PF,WAS,15.00,5.43,0.00,3.61,1.85,0.31,0.41,1.18,2.27,0.89,0.29,2.27,2.19,0.00,0.00,3500,10,3800,5800,0,52000,0,6000,3700,PF,PF,PF,PF,,,,F,F
3540,Leonard,Meyers,POR,C,@ OKC,19.00,6.36,0.84,3.86,0.83,0.23,0.30,0.71,1.63,0.57,0.09,2.47,3.15,0.00,0.00,3900,10,3800,7100,0,54500,0,6900,3800,C,C,C,PF;C,,C,,C,C
