id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3674,Schroder,Dennis,ATL,PG,CHI,21.00,10.17,0.82,3.05,4.83,0.91,0.08,1.41,2.94,1.82,0.39,3.76,6.41,0.02,0.00,4700,11,5000,8750,0,70900,0,8700,4300,PG,PG,PG,PG,,,,G,G
2445,Ilyasova,Ersan,DET,PF,BKN,28.00,11.13,1.65,5.24,1.35,0.78,0.46,0.96,2.51,1.18,0.45,4.15,5.43,0.05,0.00,5100,20,5300,9450,0,76000,0,8100,4300,PF,PF,PF,SF;PF,,,,F,F
3925,Hood,Rodney,UTA,SG,MIA,30.00,12.55,1.57,2.77,2.74,0.93,0.22,1.30,2.92,2.01,0.43,4.49,6.85,0.01,0.00,5200,20,5800,10200,0,81600,0,9100,4850,SG,SG,SG,SG;SF,,,,G,G
5042,Portis,Bobby,CHI,PF,@ ATL,23.00,10.31,0.40,6.92,1.20,0.78,0.44,1.92,4.12,0.88,0.34,4.52,4.65,0.06,0.00,3900,12,4600,6200,0,67200,0,7700,3500,PF,C,PF,PF;C,,,,C,F
3076,Temple,Garrett,WAS,SG,@ ORL,32.00,10.54,1.62,3.13,2.38,1.46,0.28,1.12,1.94,1.80,0.75,3.56,5.22,0.01,0.00,4400,12,4500,5850,0,56400,0,6100,4000,SG,SG,SG,PG;SG,,,,G,G
3920,Gordon,Aaron,ORL,PF,WAS,24.00,8.56,0.50,6.17,1.42,0.77,0.79,1.19,2.82,1.41,0.52,3.32,3.65,0.04,0.00,3700,11,3900,7700,0,61800,0,6900,3900,PF,SF,SF,SF;PF,,,,F,F
1807,Korver,Kyle,ATL,SG,CHI,31.00,10.26,2.02,3.42,2.36,0.72,0.44,1.03,1.63,0.93,0.12,3.65,5.02,0.01,0.00,4000,16,4300,7950,0,53500,0,7200,4250,SG,SG,SG,SG;SF,,,,G,G
3029,Johnson,James,TOR,SF,@ PHI,24.00,9.07,0.30,3.96,1.62,1.15,1.30,1.48,3.36,1.45,0.70,3.66,2.69,0.01,0.00,3500,10,3700,5000,0,35000,0,4100,3400,SF,SF,SF,SF;PF,,,,F,F
3728,Burke,Trey,UTA,PG,MIA,26.00,11.36,1.52,2.07,3.03,0.66,0.03,1.26,2.86,1.09,0.35,4.37,6.98,0.01,0.00,4900,21,5200,9000,0,74500,0,7800,4000,PG,PG,PG,PG,,,,G,G
1810,Johnson,Joe,BKN,SG,@ DET,34.00,9.58,1.00,4.11,2.81,0.67,0.07,1.97,2.66,1.26,0.31,3.66,5.76,0.01,0.00,4900,18,4900,8850,0,66500,0,7800,4300,SG,SF,SF,SG;SF,,,,G,F
3110,Patterson,Patrick,TOR,PF,@ PHI,26.00,7.71,1.77,5.12,1.60,1.04,0.45,0.97,0.96,0.47,0.12,2.73,3.86,0.02,0.00,3600,10,3700,7150,0,51400,0,6000,3600,PF,PF,PF,PF;C,,,,F,F
3002,Jennings,Brandon,DET,PG,BKN,19.00,8.71,1.07,1.59,4.98,0.89,0.04,1.36,1.92,1.65,0.40,2.99,4.99,0.01,0.00,5200,23,4000,7250,0,78700,0,9300,4000,PG,PG,PG,PG,,,,G,G
2771,Scola,Luis,TOR,PF,@ PHI,21.00,9.68,0.61,5.60,0.87,0.65,0.36,1.02,3.23,1.39,0.52,3.84,4.06,0.03,0.00,4400,18,4700,7750,0,70000,0,8500,3950,PF,PF,PF,PF;C,,,,F,F
2289,Iguodala,Andre,GSW,SF,@ SAC,24.00,7.13,1.06,3.54,3.13,1.38,0.27,1.16,1.65,0.65,0.30,2.71,2.96,0.01,0.00,4500,21,5100,8650,0,71900,0,8600,4500,SF,SF,SF,SG;SF,,,,F,G
3435,Barnes,Harrison,GSW,SF,@ SAC,23.00,9.69,1.09,4.11,1.59,0.84,0.20,0.81,2.52,1.36,0.43,3.62,4.13,0.01,0.00,5000,23,5600,9050,0,76200,0,9500,4200,SF,SF,SF,SF;PF,,,,F,F
5026,Kaminsky,Frank,CHA,PF,@ LAC,24.00,10.03,1.24,4.53,1.13,0.37,0.53,0.84,2.13,2.06,0.69,3.37,4.21,0.02,0.00,3900,13,4400,6950,0,57600,0,6000,3800,PF,PF,C,PF;C,,C,,C,F
2419,Bogut,Andrew,GSW,C,@ SAC,20.00,5.24,0.00,6.91,1.78,0.40,1.24,1.28,2.47,0.29,0.41,2.47,1.78,0.01,0.00,4200,13,4600,8950,0,69300,0,9000,4150,C,C,C,C,,C,,C,C
2717,Dudley,Jared,WAS,SF,@ ORL,31.00,8.11,1.37,3.79,2.24,1.01,0.19,1.05,1.56,0.87,0.29,2.94,3.92,0.01,0.00,4000,14,4100,7000,0,56700,0,6900,3800,SF,PF,SF,SG;SF,,,,F,G
3354,Bogdanovic,Bojan,BKN,SF,@ DET,33.00,10.45,1.23,4.77,1.02,0.39,0.05,1.45,2.72,1.32,0.32,3.95,5.02,0.02,0.00,4400,14,4900,8300,0,70200,0,7100,4200,SF,SG,SF,SG;SF,,,,F,G
2280,Deng,Luol,MIA,SF,@ UTA,30.00,9.38,1.20,3.91,1.21,0.94,0.20,0.92,2.00,1.77,0.54,3.20,4.33,0.01,0.00,4300,16,4300,8050,0,59700,0,7400,4150,SF,SF,SF,SF;PF,,,,F,F
2492,Williams,Marvin,CHA,PF,@ LAC,24.00,7.82,1.17,5.40,0.98,0.59,0.46,0.53,1.67,0.95,0.21,2.85,3.83,0.02,0.00,4800,20,4900,9150,0,73600,0,9300,4100,PF,PF,PF,SF;PF,,,,F,F
3129,Johnson,Wesley,LAC,SF,CHA,23.00,9.02,1.78,3.19,0.85,0.68,0.74,0.80,1.55,0.57,0.25,3.34,4.97,0.01,0.00,3700,10,3600,5850,0,50300,0,5100,3500,SF,SG,SF,SG;SF,,,,F,F
2439,Green,Gerald,MIA,SG,@ UTA,27.00,10.97,1.71,2.59,0.88,0.59,0.26,1.00,2.18,1.48,0.40,3.89,5.46,0.01,0.00,3800,10,4000,7200,0,59000,0,6500,4150,SG,SG,SG,SG;SF,,,,G,G
3373,Joseph,Cory,TOR,PG,@ PHI,24.00,8.34,0.36,2.71,2.75,0.76,0.31,1.23,2.60,2.04,0.67,2.97,3.45,0.00,0.00,3700,10,3600,6650,0,56200,0,6600,3900,PG,PG,PG,PG,,,,G,G
1852,Pierce,Paul,LAC,SF,CHA,22.00,9.48,1.60,3.22,1.44,0.39,0.31,0.86,1.83,1.03,0.28,3.43,4.75,0.01,0.00,4100,12,4200,7100,0,56900,0,4900,3800,SF,SF,SF,SF;PF,,,,F,F
5024,Johnson,Stanley,DET,SF,BKN,22.00,8.29,0.92,3.92,1.40,0.86,0.27,1.34,2.37,0.77,0.26,3.30,4.67,0.01,0.00,3900,10,3800,7150,0,56700,0,6100,3900,SF,SF,SF,SF,,,,F,F
3951,Stauskas,Nik,PHI,SG,TOR,27.00,8.98,1.70,2.25,1.91,0.62,0.48,1.17,1.40,1.07,0.33,3.10,5.35,0.00,0.00,3700,10,3700,6550,0,44100,0,5500,3700,SG,SG,SG,SG,,,,G,G
1928,Crawford,Jamal,LAC,SG,CHA,21.00,10.64,1.14,1.50,2.00,0.47,0.16,1.01,2.45,2.31,0.26,3.59,5.74,0.01,0.00,3800,14,4000,7600,0,61900,0,6500,4000,SG,SG,SG,SG;SF,,,,G,G
3921,Grant,Jerami,PHI,PF,TOR,22.00,7.49,0.46,3.44,1.08,0.51,1.23,1.02,2.08,1.93,0.98,2.55,3.86,0.01,0.00,4100,16,4400,8750,0,64800,0,8000,4000,PF,SF,SF,SF;PF,,,,F,F
5098,McConnell,TJ,PHI,PG,TOR,18.00,4.75,0.41,3.43,3.98,0.90,0.21,1.69,1.65,0.24,0.09,2.05,2.90,0.00,0.00,3700,10,3600,7500,0,60600,0,7900,3800,PG,PG,PG,PG,,,,G,G
2842,Koufos,Kosta,SAC,C,GSW,19.00,6.58,0.00,5.64,0.34,0.62,0.61,0.63,2.77,1.04,0.65,2.77,2.88,0.01,0.00,3700,10,4000,7400,0,51100,0,7400,3600,C,C,C,PF;C,,C,,C,C
